set,algorithm,id,size,time
Alpha,Generated,253,1002,30.43e-06
Alpha,Generated,254,1002,74.50e-06
Alpha,Generated,255,1002,30.74e-06
Alpha,Improved,251,1002,57.69e-06
Alpha,Improved,252,1002,75.97e-06
Alpha,Improved,253,1002,16.69e-06
Alpha,Improved,254,1002,49.27e-06
Alpha,Improved,255,1002,17.69e-06
Alpha,Generated,256,1002,11.36e-06
Alpha,Generated,257,1002,32.90e-06
Alpha,Generated,258,1002,32.54e-06
Alpha,Generated,259,1002,160.48e-06
Alpha,Generated,260,1002,24.42e-06
Alpha,Improved,256,1002,3.59e-06
Alpha,Improved,257,1002,19.27e-06
Alpha,Improved,258,1002,19.86e-06
Alpha,Improved,259,1002,120.83e-06
Alpha,Improved,260,1002,12.95e-06
Alpha,Generated,261,1002,123.76e-06
Alpha,Generated,262,1002,160.22e-06
Alpha,Generated,263,1002,102.38e-06
Alpha,Generated,264,1002,65.95e-06
Alpha,Generated,265,1002,72.44e-06
Alpha,Improved,261,1002,105.07e-06
Alpha,Improved,262,1002,117.30e-06
Alpha,Improved,263,1002,69.04e-06
Alpha,Improved,264,1002,38.14e-06
Alpha,Improved,265,1002,43.85e-06
Alpha,Generated,266,1002,200.05e-06
Alpha,Generated,267,1002,120.33e-06
Alpha,Generated,268,1002,67.86e-06
Alpha,Generated,269,1002,233.22e-06
Alpha,Generated,270,1002,161.58e-06
Alpha,Improved,266,1002,143.05e-06
Alpha,Improved,267,1002,78.77e-06
Alpha,Improved,268,1002,40.20e-06
Alpha,Improved,269,1002,167.62e-06
Alpha,Improved,270,1002,108.71e-06
Alpha,Generated,271,1002,173.02e-06
Alpha,Generated,272,1002,35.50e-06
Alpha,Generated,273,1002,95.40e-06
Alpha,Generated,274,1002,195.53e-06
Alpha,Generated,275,1002,20.06e-06
Alpha,Improved,271,1002,145.01e-06
Alpha,Improved,272,1002,17.21e-06
Alpha,Improved,273,1002,58.48e-06
Alpha,Improved,274,1002,152.89e-06
Alpha,Improved,275,1002,6.53e-06
Alpha,Generated,276,1102,26.09e-06
Alpha,Generated,277,1102,160.39e-06
Alpha,Generated,278,1102,132.16e-06
Alpha,Generated,279,1102,115.76e-06
Alpha,Generated,280,1102,120.46e-06
